Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
4.0,1997.0,0.0,5.24,8.5,13.0,7.4,27.0,7.0
0.0,2013.0,9.0,5.23,7.1,23.0,7.4,27.0,2.0
11.0,2012.0,4.0,5.22,8.4,70.0,8.1,733.0,1.0
5.0,2004.0,7.0,5.21,8.9,63.0,8.8,245.0,7.0
1.0,2007.0,5.0,5.19,8.5,72.0,8.6,147.0,1.0
12.0,2012.0,0.0,5.16,9.0,48.0,6.1,403.0,1.0
3.0,2012.0,7.0,5.14,8.8,86.0,4.0,9629.0,5.0
5.0,2003.0,8.0,5.13,6.8,30.0,7.6,100.0,7.0
3.0,1996.0,9.0,5.12,7.1,23.0,7.4,27.0,2.0
5.0,2006.0,3.0,5.12,9.2,69.0,8.5,112.0,7.0
12.0,2010.0,7.0,5.1,8.0,88.0,6.5,604.0,5.0
1.0,2008.0,10.0,5.09,7.1,23.0,7.4,27.0,2.0
6.0,2009.0,0.0,5.09,8.4,76.0,7.5,667.0,5.0
1.0,2007.0,0.0,5.08,9.0,57.0,8.0,416.0,1.0
6.0,2010.0,10.0,5.07,8.9,51.0,8.0,233.0,1.0
4.0,1996.0,0.0,5.05,9.1,8.0,9.0,266.0,5.0
8.0,2006.0,0.0,5.03,8.6,50.0,8.0,150.0,5.0
4.0,1999.0,10.0,5.02,9.2,18.0,9.2,69.0,7.0
4.0,1999.0,11.0,5.01,7.1,23.0,7.4,27.0,2.0
4.0,1998.0,4.0,5.0,7.1,23.0,7.4,27.0,2.0
5.0,2007.0,3.0,4.98,8.2,24.0,8.2,46.0,7.0
10.0,2007.0,8.0,4.98,6.8,34.0,7.1,47.0,7.0
1.0,2007.0,7.0,4.93,7.1,23.0,7.4,27.0,2.0
12.0,2008.0,7.0,4.93,9.3,84.0,8.5,1655.0,5.0
6.0,2007.0,0.0,4.92,8.8,66.0,8.1,2306.0,7.0
5.0,2005.0,10.0,4.91,8.8,29.0,8.0,121.0,1.0
2.0,1997.0,6.0,4.88,7.1,23.0,7.4,27.0,2.0
8.0,2010.0,7.0,4.87,7.1,23.0,7.4,27.0,2.0
11.0,2014.0,2.0,4.87,7.1,23.0,7.4,27.0,2.0
3.0,2010.0,11.0,4.84,9.3,82.0,8.2,3052.0,7.0
6.0,2007.0,1.0,4.82,8.1,40.0,7.3,769.0,5.0
6.0,2010.0,0.0,4.8,9.2,101.0,8.7,2633.0,5.0
4.0,1999.0,6.0,4.79,8.8,20.0,9.0,233.0,1.0
1.0,2007.0,0.0,4.76,8.0,9.0,5.4,46.0,1.0
4.0,2000.0,0.0,4.73,6.2,14.0,7.7,92.0,7.0
12.0,2011.0,0.0,4.73,9.4,87.0,8.7,1472.0,7.0
7.0,2014.0,0.0,4.71,7.1,23.0,7.4,27.0,2.0
5.0,2003.0,6.0,4.7,7.1,23.0,7.4,27.0,2.0
4.0,2000.0,10.0,4.68,9.8,19.0,7.7,299.0,7.0
5.0,2002.0,0.0,4.67,8.2,32.0,8.2,78.0,7.0
4.0,1996.0,0.0,4.63,9.1,13.0,8.6,147.0,7.0
10.0,2008.0,9.0,4.62,7.3,50.0,7.6,119.0,1.0
7.0,2015.0,0.0,4.62,8.6,78.0,8.1,1264.0,7.0
10.0,2007.0,3.0,4.6,8.6,36.0,8.4,87.0,7.0
0.0,2013.0,0.0,4.59,8.6,74.0,8.4,458.0,1.0
12.0,2011.0,6.0,4.57,9.1,83.0,8.2,617.0,1.0
10.0,2009.0,10.0,4.53,7.1,23.0,7.4,27.0,2.0
5.0,2004.0,10.0,4.53,9.1,30.0,7.9,78.0,1.0
12.0,2007.0,3.0,4.53,8.5,69.0,7.9,165.0,7.0
5.0,2006.0,10.0,4.49,8.4,29.0,8.2,39.0,1.0
14.0,2015.0,8.0,4.48,8.4,101.0,6.4,2438.0,7.0
5.0,2002.0,0.0,4.48,7.6,25.0,7.9,41.0,1.0
4.0,2000.0,7.0,4.47,7.1,23.0,7.4,27.0,2.0
7.0,2016.0,8.0,4.46,7.7,82.0,3.4,1129.0,5.0
5.0,2005.0,0.0,4.45,9.4,75.0,8.9,997.0,5.0
11.0,2015.0,8.0,4.43,8.1,88.0,8.5,1184.0,2.0
11.0,2012.0,3.0,4.42,7.7,61.0,7.9,471.0,2.0
5.0,2001.0,10.0,4.41,9.7,34.0,7.5,298.0,7.0
5.0,2006.0,10.0,4.39,8.6,19.0,8.9,33.0,1.0
12.0,2006.0,7.0,4.38,9.4,90.0,8.7,1109.0,5.0
5.0,2005.0,6.0,4.37,8.2,36.0,9.1,137.0,7.0
10.0,2010.0,3.0,4.36,5.6,37.0,8.3,31.0,2.0
6.0,2014.0,8.0,4.36,7.1,23.0,4.8,207.0,5.0
6.0,2006.0,8.0,4.34,8.6,70.0,8.1,715.0,5.0
5.0,2005.0,7.0,4.33,8.7,64.0,9.0,766.0,2.0
0.0,2011.0,0.0,4.33,7.1,23.0,7.4,27.0,2.0
11.0,2013.0,4.0,4.32,9.3,83.0,9.0,1607.0,1.0
7.0,2014.0,3.0,4.32,7.1,23.0,7.4,27.0,2.0
12.0,2014.0,8.0,4.29,7.1,23.0,4.9,221.0,5.0
6.0,2014.0,10.0,4.28,7.1,23.0,4.5,109.0,1.0
12.0,2008.0,7.0,4.27,8.9,95.0,6.5,2423.0,5.0
6.0,2009.0,0.0,4.23,9.1,70.0,8.9,1122.0,7.0
5.0,2004.0,0.0,4.23,9.1,68.0,9.3,955.0,5.0
6.0,2011.0,0.0,4.22,8.0,39.0,7.5,613.0,5.0
14.0,2015.0,7.0,4.22,8.8,39.0,6.2,1749.0,5.0
12.0,2013.0,10.0,4.22,8.4,41.0,4.2,435.0,1.0
8.0,2006.0,4.0,4.21,8.5,59.0,8.7,109.0,2.0
3.0,1995.0,11.0,4.21,7.1,23.0,7.4,27.0,2.0
5.0,2005.0,10.0,4.21,8.0,32.0,7.8,47.0,1.0
5.0,2003.0,3.0,4.2,8.0,32.0,7.5,22.0,1.0
6.0,2007.0,6.0,4.19,8.0,67.0,7.1,120.0,1.0
12.0,2011.0,0.0,4.19,8.0,77.0,7.2,564.0,5.0
12.0,2011.0,10.0,4.18,7.1,23.0,7.4,27.0,2.0
6.0,2009.0,2.0,4.16,9.4,61.0,7.3,330.0,7.0
4.0,1997.0,0.0,4.16,7.1,23.0,7.4,27.0,2.0
5.0,2002.0,10.0,4.14,9.5,25.0,7.7,65.0,1.0
3.0,1997.0,8.0,4.12,9.6,24.0,9.1,3161.0,5.0
5.0,2006.0,10.0,4.11,7.1,23.0,7.4,27.0,2.0
3.0,2007.0,7.0,4.09,9.1,46.0,7.9,785.0,7.0
7.0,2016.0,8.0,4.08,8.8,31.0,8.4,809.0,5.0
5.0,2007.0,0.0,4.07,9.3,70.0,8.9,709.0,5.0
5.0,2005.0,10.0,4.06,7.1,23.0,8.2,23.0,1.0
12.0,2010.0,7.0,4.05,8.4,81.0,8.1,769.0,5.0
12.0,2007.0,6.0,4.05,9.0,66.0,8.3,381.0,1.0
10.0,2007.0,3.0,4.05,5.6,27.0,6.0,44.0,1.0
7.0,2014.0,0.0,4.05,8.0,80.0,6.3,2996.0,5.0
4.0,1996.0,3.0,4.05,7.1,23.0,7.4,27.0,2.0
5.0,2000.0,2.0,4.05,8.5,25.0,8.5,117.0,7.0
7.0,2014.0,8.0,4.04,8.5,83.0,7.7,1653.0,5.0
2.0,1997.0,8.0,4.03,7.1,23.0,7.4,27.0,2.0
5.0,2005.0,3.0,3.98,6.1,21.0,7.4,27.0,2.0
12.0,2009.0,8.0,3.97,8.9,76.0,8.6,681.0,5.0
7.0,2015.0,7.0,3.97,9.2,79.0,9.2,10179.0,5.0
7.0,2014.0,0.0,3.96,7.0,40.0,4.9,2050.0,5.0
7.0,2015.0,0.0,3.95,8.7,89.0,7.6,2679.0,5.0
10.0,2011.0,0.0,3.95,9.3,81.0,8.0,1958.0,2.0
6.0,2008.0,7.0,3.94,9.0,57.0,8.0,910.0,5.0
1.0,2007.0,5.0,3.94,8.4,65.0,8.8,72.0,2.0
10.0,2009.0,10.0,3.9,8.1,27.0,8.7,39.0,1.0
5.0,2003.0,10.0,3.9,9.0,38.0,8.7,121.0,7.0
0.0,2014.0,7.0,3.89,8.6,80.0,8.7,348.0,7.0
3.0,2011.0,7.0,3.88,9.4,32.0,8.1,9073.0,5.0
7.0,2015.0,10.0,3.88,8.7,51.0,6.7,364.0,2.0
5.0,2005.0,2.0,3.87,8.8,62.0,8.6,229.0,7.0
6.0,2006.0,6.0,3.87,8.4,9.0,7.4,220.0,7.0
0.0,2011.0,9.0,3.85,7.1,23.0,7.4,27.0,2.0
5.0,2004.0,10.0,3.85,9.1,26.0,9.1,38.0,1.0
6.0,2010.0,10.0,3.84,7.6,64.0,7.9,104.0,2.0
4.0,1995.0,3.0,3.84,7.1,23.0,7.4,27.0,2.0
7.0,2013.0,8.0,3.83,7.8,49.0,3.7,1564.0,5.0
1.0,2007.0,3.0,3.83,5.9,22.0,4.0,4.0,1.0
7.0,2016.0,8.0,3.8,8.0,64.0,7.0,2219.0,5.0
10.0,2007.0,3.0,3.79,6.8,33.0,6.9,39.0,1.0
4.0,1996.0,0.0,3.77,7.1,23.0,7.4,27.0,2.0
1.0,2009.0,7.0,3.77,7.1,23.0,7.4,27.0,2.0
12.0,2008.0,0.0,3.76,7.7,60.0,7.5,66.0,2.0
3.0,2002.0,9.0,3.76,7.9,21.0,8.0,29.0,7.0
8.0,2007.0,4.0,3.74,7.1,23.0,7.4,27.0,2.0
4.0,2001.0,0.0,3.73,6.4,11.0,7.5,41.0,1.0
10.0,2011.0,10.0,3.72,7.1,23.0,7.4,27.0,2.0
4.0,1999.0,0.0,3.72,7.1,23.0,7.4,27.0,2.0
10.0,2007.0,4.0,3.71,8.5,56.0,7.9,417.0,1.0
4.0,2000.0,4.0,3.71,9.1,15.0,8.8,207.0,1.0
6.0,2013.0,0.0,3.71,8.8,36.0,8.1,840.0,5.0
5.0,2004.0,10.0,3.7,8.1,27.0,7.6,56.0,1.0
1.0,2009.0,3.0,3.67,7.1,23.0,7.4,27.0,2.0
5.0,2002.0,10.0,3.67,9.4,27.0,8.5,128.0,7.0
14.0,2015.0,8.0,3.66,7.1,23.0,7.4,27.0,2.0
1.0,2007.0,9.0,3.66,6.7,15.0,7.3,13.0,1.0
8.0,2005.0,6.0,3.65,7.4,34.0,8.4,31.0,2.0
2.0,1998.0,4.0,3.65,7.1,23.0,7.4,27.0,2.0
5.0,2002.0,8.0,3.65,8.2,42.0,7.9,82.0,5.0
5.0,2001.0,4.0,3.64,9.0,35.0,8.7,312.0,1.0
2.0,1999.0,9.0,3.63,7.1,23.0,7.4,27.0,2.0
5.0,2007.0,10.0,3.63,8.2,10.0,7.9,38.0,1.0
5.0,2005.0,0.0,3.62,9.6,38.0,8.9,1013.0,5.0
10.0,2008.0,3.0,3.62,8.6,18.0,7.6,71.0,7.0
6.0,2009.0,10.0,3.62,9.1,56.0,7.6,203.0,1.0
5.0,2004.0,8.0,3.61,8.2,36.0,8.7,142.0,7.0
3.0,1994.0,8.0,3.61,7.1,23.0,7.4,27.0,2.0
5.0,2001.0,6.0,3.61,6.4,23.0,7.7,32.0,7.0
7.0,2013.0,8.0,3.59,8.5,18.0,6.9,1580.0,5.0
5.0,2005.0,8.0,3.59,8.4,30.0,9.0,268.0,7.0
10.0,2013.0,3.0,3.59,7.1,23.0,6.2,10.0,2.0
1.0,2007.0,9.0,3.58,7.0,39.0,8.0,9.0,1.0
4.0,2000.0,2.0,3.58,7.1,23.0,7.4,27.0,2.0
4.0,1997.0,4.0,3.56,7.1,23.0,7.4,27.0,2.0
5.0,2006.0,0.0,3.54,7.8,49.0,7.8,112.0,5.0
5.0,2002.0,0.0,3.54,7.2,49.0,6.8,88.0,5.0
4.0,1997.0,0.0,3.54,7.1,23.0,7.4,27.0,2.0
5.0,2001.0,8.0,3.53,7.2,27.0,7.9,48.0,7.0
5.0,2005.0,0.0,3.53,7.1,23.0,7.4,27.0,2.0
4.0,2000.0,0.0,3.52,7.1,23.0,7.4,27.0,2.0
12.0,2010.0,10.0,3.52,8.8,66.0,7.5,155.0,1.0
4.0,1999.0,4.0,3.52,7.1,23.0,7.4,27.0,2.0
12.0,2008.0,8.0,3.51,8.9,67.0,7.9,1309.0,5.0
14.0,2014.0,0.0,3.5,7.2,59.0,4.1,1005.0,5.0
12.0,2009.0,0.0,3.5,8.3,91.0,7.5,523.0,5.0
12.0,2010.0,0.0,3.49,8.9,81.0,8.3,693.0,5.0
6.0,2013.0,8.0,3.49,8.0,14.0,5.8,579.0,5.0
12.0,2009.0,0.0,3.48,9.2,78.0,8.7,1080.0,7.0
12.0,2013.0,8.0,3.48,7.9,21.0,5.6,542.0,5.0
12.0,2010.0,8.0,3.47,8.8,75.0,8.6,869.0,5.0
1.0,2009.0,10.0,3.46,7.1,23.0,7.4,27.0,2.0
1.0,2008.0,3.0,3.46,7.1,70.0,8.8,29.0,2.0
1.0,2006.0,3.0,3.45,8.3,30.0,8.4,28.0,1.0
0.0,2013.0,7.0,3.44,7.1,23.0,7.4,27.0,2.0
12.0,2009.0,8.0,3.44,8.4,83.0,8.2,715.0,5.0
5.0,2002.0,2.0,3.44,7.9,23.0,8.3,126.0,7.0
4.0,1998.0,0.0,3.42,7.0,15.0,8.0,67.0,7.0
7.0,2015.0,0.0,3.41,9.3,86.0,8.2,3943.0,5.0
5.0,2004.0,0.0,3.41,8.0,50.0,8.9,106.0,7.0
5.0,2002.0,10.0,3.4,8.8,15.0,6.7,35.0,1.0
6.0,2011.0,4.0,3.39,9.1,86.0,8.4,657.0,1.0
4.0,2000.0,3.0,3.39,6.8,12.0,8.2,99.0,1.0
7.0,2015.0,0.0,3.39,7.6,86.0,6.8,1319.0,5.0
12.0,2008.0,0.0,3.38,7.6,49.0,7.9,75.0,2.0
14.0,2014.0,8.0,3.37,7.5,11.0,5.5,1735.0,7.0
4.0,1998.0,2.0,3.36,7.1,23.0,7.4,27.0,2.0
2.0,2000.0,0.0,3.36,7.1,23.0,7.4,27.0,2.0
6.0,2012.0,8.0,3.35,9.0,32.0,8.5,1041.0,5.0
4.0,1998.0,1.0,3.34,7.1,23.0,7.4,27.0,2.0
1.0,2006.0,3.0,3.33,7.1,23.0,7.4,27.0,2.0
5.0,2002.0,8.0,3.33,7.7,20.0,8.5,66.0,7.0
5.0,2002.0,4.0,3.33,7.1,23.0,7.4,27.0,2.0
0.0,2015.0,0.0,3.32,7.1,23.0,7.4,27.0,2.0
5.0,2005.0,0.0,3.32,6.0,34.0,7.2,82.0,7.0
1.0,2009.0,0.0,3.31,8.7,75.0,7.8,228.0,2.0
5.0,2001.0,8.0,3.31,8.0,21.0,8.5,86.0,5.0
12.0,2013.0,0.0,3.3,8.6,35.0,7.9,701.0,5.0
5.0,2003.0,0.0,3.28,8.5,31.0,8.7,105.0,7.0
0.0,2014.0,7.0,3.28,7.1,23.0,7.4,27.0,2.0
14.0,2015.0,8.0,3.28,8.2,74.0,7.5,563.0,5.0
5.0,2003.0,0.0,3.27,7.7,39.0,8.0,94.0,5.0
1.0,2008.0,5.0,3.26,8.6,62.0,9.2,111.0,2.0
8.0,2009.0,6.0,3.25,7.1,23.0,7.4,27.0,2.0
14.0,2015.0,10.0,3.25,8.4,45.0,4.4,459.0,1.0
10.0,2008.0,3.0,3.25,6.3,43.0,4.6,116.0,1.0
4.0,1995.0,2.0,3.24,7.1,23.0,7.4,27.0,2.0
7.0,2015.0,10.0,3.24,8.3,37.0,5.9,180.0,1.0
6.0,2013.0,6.0,3.23,8.1,81.0,7.7,758.0,1.0
14.0,2014.0,8.0,3.23,8.5,69.0,7.2,1267.0,5.0
4.0,1999.0,8.0,3.21,7.1,23.0,7.4,27.0,2.0
11.0,2015.0,4.0,3.21,8.8,85.0,8.7,691.0,1.0
4.0,2000.0,2.0,3.2,7.1,23.0,7.4,27.0,2.0
8.0,2008.0,0.0,3.18,9.1,79.0,8.6,565.0,5.0
5.0,2003.0,0.0,3.18,6.2,30.0,8.1,137.0,7.0
8.0,2007.0,7.0,3.18,8.3,67.0,8.0,463.0,7.0
12.0,2010.0,3.0,3.17,8.2,63.0,7.6,85.0,7.0
6.0,2011.0,1.0,3.17,8.9,78.0,7.7,1010.0,5.0
5.0,2001.0,9.0,3.17,8.9,22.0,9.1,95.0,1.0
5.0,2007.0,10.0,3.14,8.3,12.0,6.5,36.0,1.0
