,TrackID,Predictor
262,245294_80033,0
263,237388_80451,1
264,229513_80579,1
265,226558_81349,1
266,219469_82672,0
267,229981_84812,1
268,209460_86927,1
269,207971_87462,0
270,231913_88599,1
271,203531_88599,1
272,210170_88599,1
273,231794_88599,0
274,233886_90461,1
275,231536_90461,1
276,207186_91367,0
277,218718_92080,1
278,247178_96488,1
279,208023_96488,1
280,227459_96488,1
281,223953_96488,1
282,216305_96488,1
283,205027_96488,1
284,200610_96488,1
285,234845_96488,1
286,239099_97004,0
287,223453_97004,0
288,216176_99239,1
289,240240_99621,1
290,211963_99786,1
291,229306_100800,1
292,208441_100884,0
293,229632_101094,1
294,237568_103747,1
295,209438_103747,1
296,220190_104064,1
297,248161_105153,1
298,211050_106535,1
299,221833_108460,1
300,211016_108460,1
301,227876_108460,1
302,244859_108560,0
303,229830_108560,1
304,247634_108560,0
305,199991_108560,1
306,243400_108560,1
307,208598_108560,1
308,205747_108560,1
309,235518_108560,1
310,209386_108560,1
311,220561_108560,1
312,246736_108560,1
313,246272_108560,0
314,213154_108560,0
315,213605_108560,1
316,244094_108560,1
317,201430_108560,0
318,217671_108560,1
319,239602_108560,1
320,246450_109909,1
321,230913_109909,1
322,240781_109909,1
323,200946_115602,1
324,235389_115602,1
325,208582_116312,0
326,221997_116312,1
327,236288_116312,1
328,229066_116312,0
329,217610_116312,1
330,244605_116312,1
331,241770_116312,0
332,204328_116312,0
333,205248_116312,1
334,231362_116312,1
335,229827_116312,0
336,200774_116312,1
337,227786_120899,1
338,219341_120899,1
339,237119_122484,0
340,241953_122555,1
341,219081_124861,1
342,204586_124967,1
343,223476_124967,1
344,243595_124967,1
345,248996_125502,1
346,219899_125502,1
347,227128_125502,1
348,213695_127109,1
349,246365_128367,1
350,230015_129791,0
351,219070_129791,1
352,206807_129791,1
353,210290_133730,0
354,213542_135533,1
355,229569_135965,0
356,218740_136924,0
357,201723_138920,0
358,205365_139335,0
359,209382_139469,1
360,239502_139535,0
361,241323_141422,1
362,246406_141952,1
363,247363_143432,0
364,232678_143989,1
365,208746_143989,0
366,208952_143989,1
367,212798_143989,0
368,240909_143989,1
369,204873_143989,1
370,213368_145011,1
371,207371_145011,1
372,237988_145011,1
373,225511_145210,1
374,202671_148053,1
375,206213_148053,0
376,213548_148053,1
377,211566_148053,1
378,241038_148053,1
379,241401_148053,1
380,213173_148053,0
381,232766_148053,0
382,226684_148053,0
383,213451_148053,1
384,200836_148053,1
385,219874_148053,0
386,211011_148053,1
387,205260_148053,1
388,227649_148053,1
389,212994_148053,1
390,221236_149688,1
391,207282_150181,0
392,244931_150181,1
393,211419_150181,0
394,242453_150375,1
395,227920_150375,1
396,200306_150375,0
397,224967_150375,1
398,205706_150375,0
399,220629_150822,0
400,239843_150843,0
401,202703_152600,0
402,232952_152600,1
403,232660_152600,1
404,203221_152600,0
405,207491_152600,1
406,229460_152882,1
407,206128_153409,1
408,213225_153555,1
409,209035_153555,1
410,244422_156197,1
411,223696_156527,0
412,247737_157426,1
413,218042_158339,1
414,222198_160235,1
415,220373_160492,1
416,246201_160492,0
417,202037_160492,1
418,240963_162260,0
419,227686_162260,0
420,226914_162260,1
421,201947_162260,1
422,210722_162260,1
423,248754_162260,0
424,203925_162260,0
425,235414_162260,1
426,224088_162260,0
427,233987_162321,1
428,244118_162321,1
429,232130_163934,1
430,237281_163934,0
431,212765_164962,0
432,202274_166624,1
433,230065_168654,1
434,202789_168654,0
435,248864_168802,0
436,237485_170542,1
437,222182_171142,0
438,225729_172616,1
439,208989_173059,1
440,213645_173059,1
441,236160_173059,1
442,228366_173059,1
443,241487_173059,1
444,236171_173691,1
445,200476_175201,1
446,209263_175229,0
447,213194_175528,0
448,216158_177496,0
449,225973_178342,1
450,236627_179268,1
451,243758_179268,0
452,225275_180282,1
453,215036_180753,0
454,226333_180910,1
455,244200_180981,0
456,213543_182945,1
457,209887_182945,1
458,246150_183955,1
459,221931_183955,0
460,219862_183955,1
461,207712_183955,0
462,239551_183955,1
463,230315_183955,1
464,209946_186039,0
465,233403_186588,1
466,200143_187136,0
467,234400_188122,0
468,247267_188488,0
469,238379_188488,1
470,215152_188718,1
471,219737_188718,1
472,226338_188873,1
473,215208_188873,1
474,217256_190174,1
475,206337_190227,1
476,232336_191554,1
477,216368_191933,1
478,237274_194753,1
479,242759_196290,0
480,239223_197588,1
481,234560_197588,1
482,228826_198038,0
483,225149_198218,0
484,226920_198573,1
485,218934_200166,1
486,245740_200166,0
487,210921_200166,1
488,226997_200166,1
489,200407_200166,1
490,220730_200166,1
491,248831_200166,1
492,240655_200166,1
493,199817_200166,1
494,207348_200166,1
495,221895_200166,1
496,232720_200166,1
497,221382_200166,1
498,231294_200166,0
499,202118_200166,0
500,217699_200166,0
501,219439_200166,0
502,217516_200166,1
503,242786_200166,1
504,215321_200166,1
505,224276_200166,0
506,213749_200166,1
507,244839_200166,1
508,220349_200166,0
509,206991_200166,1
510,237188_200166,1
511,239262_200166,1
512,221106_200166,0
513,239579_200166,1
514,244272_200166,1
515,231549_200166,1
516,205548_200166,1
517,215524_200166,1
518,229382_200718,0
519,230749_203504,1
520,225889_203592,1
521,200707_203592,1
522,234015_204839,1
523,210436_205306,1
524,219268_207103,1
525,217531_208187,1
526,206381_209029,1
527,223848_209029,1
528,204975_209955,1
529,211256_210441,0
530,232665_210661,1
531,210109_210661,1
532,225691_210661,1
533,232589_210661,1
534,240297_210661,1
535,238258_210736,1
536,200791_210744,1
537,247417_210744,1
538,228030_210744,1
539,205980_210744,1
540,228524_210744,1
541,208400_210744,1
542,213321_210765,0
543,246991_211126,1
544,200159_211335,1
545,240986_211912,1
546,205271_212297,1
547,221364_212297,0
548,223463_212504,1
549,239132_212727,1
550,244210_215309,0
551,221606_215987,1
552,208313_216112,1
553,220333_217114,1
554,241894_222048,0
555,234736_222605,1
556,206247_223475,0
557,217318_223475,1
558,242430_225333,0
559,202172_225333,0
560,214847_225333,1
561,238532_227044,1
562,244236_230443,0
563,223370_230513,1
564,215803_230513,1
565,226187_231236,1
566,244442_234080,1
567,231026_234080,1
568,246385_234080,1
569,227318_234425,1
570,238241_234425,1
571,239676_234425,1
572,236282_235408,1
573,218358_235447,1
574,208491_239284,1
575,220975_239284,1
576,241142_239284,1
577,228475_239284,1
578,230430_239284,1
579,200495_239284,1
580,247337_239284,1
581,227461_239284,1
582,205846_239284,1
583,214845_239284,1
584,218412_239284,1
585,217904_239284,1
586,233418_239284,1
587,207766_239284,1
588,223119_239284,1
589,219799_239284,1
590,229624_239284,1
591,225534_243356,1
592,205965_243440,0
593,230446_244430,0
594,243162_245123,0
595,206299_246097,1
596,243021_246115,1
597,225199_247584,1
598,242081_249423,1
599,217695_249423,1
600,227239_249728,0
601,248270_249728,1
602,220138_251316,1
603,209917_251559,1
604,236524_251559,1
605,228812_252206,0
606,241537_253765,1
607,217750_255132,1
608,202200_255132,0
609,228914_255394,1
610,245056_255394,1
611,248104_256117,1
612,230538_256866,1
613,221404_264914,1
614,223308_264914,1
615,213817_265240,0
616,229150_265240,1
617,202953_265539,1
618,213691_265843,1
619,217541_268130,0
620,210766_268130,1
621,225567_268130,0
622,248263_269421,1
623,223703_270200,1
624,222719_271537,1
625,218839_271537,1
626,221025_271537,1
627,203180_271557,0
628,246561_274280,1
629,207721_274549,1
630,212449_275400,0
631,221994_275400,0
632,232858_275400,1
633,213167_275400,1
634,211425_275400,0
635,222845_276028,0
636,214133_276517,1
637,243247_277404,0
638,210904_277404,1
639,227332_277404,1
640,228592_277404,0
641,227459_277404,1
642,246435_277404,1
643,235510_277404,1
644,232088_277404,0
645,206429_277404,1
646,204955_277404,1
647,224218_277404,1
648,226253_277404,1
649,225831_277404,1
650,247716_277404,0
651,201766_277754,1
652,231481_278125,1
653,244452_278125,1
654,206028_278646,1
655,230478_279120,0
656,204033_283607,0
657,243440_287568,1
658,206872_287568,1
659,221345_287568,1
660,246191_287568,1
661,230202_287568,0
662,246150_288113,1
663,233814_288998,1
664,222549_290513,1
665,214093_291501,1
666,242932_291501,0
667,209288_291650,1
668,212979_292083,1
669,205876_292379,1
670,235217_293243,1
671,217188_293418,1
672,206869_294744,0
673,211596_294870,1
674,214632_1127,1
675,244562_1127,1
676,237389_1990,1
677,202047_1990,1
678,207200_4158,0
679,247927_4929,1
680,219044_4929,1
681,216654_4929,1
682,228433_6393,1
683,230913_6393,1
684,213670_6393,1
685,212725_6623,0
686,240724_10121,1
687,200558_11710,1
688,207437_12006,0
689,240116_12006,0
690,239916_13622,0
691,222984_13622,1
692,210404_13622,1
693,246851_13622,1
694,204298_13622,1
695,229315_13622,0
696,203397_14075,1
697,218027_14876,1
698,212341_14876,0
699,247637_14876,1
700,216485_15538,0
701,239627_16500,1
702,214696_16500,0
703,236165_16500,0
704,222120_16500,1
705,206619_16500,1
706,224832_16916,1
707,229842_16916,0
708,238242_16916,1
709,204160_16916,0
710,245019_16916,1
711,233298_18201,1
712,215604_18201,1
713,220688_18467,0
714,220028_19873,1
715,233414_19873,1
716,221671_19873,1
717,241479_19886,1
718,241014_19962,1
719,238560_21116,1
720,231193_21116,1
721,227518_22004,0
722,217287_22004,1
723,230539_23136,0
724,217410_23136,1
725,246034_24985,1
726,210496_29595,0
727,239773_29595,1
728,210507_29595,1
729,209973_29595,1
730,221068_29595,1
731,220917_29595,0
732,224575_29827,0
733,227940_29827,1
734,212421_31118,1
735,238217_31928,1
736,246889_33762,1
737,244395_33762,0
738,239876_33762,0
739,236125_35450,0
740,226664_38436,0
741,217606_38562,0
742,215618_38707,1
743,220945_38806,0
744,233111_39460,1
745,205196_39460,1
746,225712_40439,1
747,227284_40893,1
748,229804_41704,0
749,221683_41887,1
750,209587_42304,0
751,229254_44141,0
752,206787_46108,1
753,209978_46108,1
754,229410_46255,1
755,207539_47211,1
756,215790_47211,1
757,245325_48345,0
758,228933_48711,1
759,207869_49699,1
760,207075_49699,1
761,244096_49699,0
762,223996_49699,1
763,201069_49699,1
764,205195_58395,1
765,203298_59748,1
766,218006_60835,1
767,244599_61365,1
768,201983_66277,1
769,231473_66277,1
770,214535_66672,1
771,224690_67225,1
772,208286_67388,1
773,233531_68877,1
774,216018_69035,0
775,217160_69279,1
776,223496_69279,1
777,215730_69279,1
778,220362_69279,1
779,209234_69279,0
780,235444_70830,0
781,210605_70830,1
782,211430_70830,1
783,225080_71454,0
784,217637_71454,1
785,202991_71454,1
786,234810_71454,1
787,208776_74452,0
788,235761_74452,0
789,220751_75321,1
790,212709_76164,1
791,228189_76701,0
792,203649_78766,0
793,247191_80943,1
794,240540_86074,0
795,212536_86074,1
796,233786_86672,1
797,208708_87560,0
798,207621_91412,0
799,226360_92008,1
800,214799_94621,1
801,247735_96415,1
802,219157_97705,1
803,201083_100088,0
804,238114_100088,1
805,210260_100088,1
806,204307_100088,1
807,216917_100088,0
808,219317_100088,1
809,230669_105438,1
810,215446_108578,1
811,210595_108578,1
812,227238_109289,1
813,224591_111174,0
814,208971_111557,1
815,217792_112251,1
816,237683_113407,1
817,222120_115997,1
818,237091_117196,1
819,243774_118064,1
820,219096_120333,1
821,227857_122604,1
822,247630_122838,1
823,235356_124951,0
824,205491_124951,1
825,241034_125776,0
826,214699_127195,1
827,228735_127195,1
828,233760_127195,1
829,233880_127195,1
830,221207_127195,1
831,238053_127195,1
832,231686_127195,1
833,219276_127195,1
834,212160_127195,1
835,226495_127195,1
836,217743_127195,1
837,236877_127195,1
838,208597_127195,0
839,244354_127195,1
840,242476_127195,1
841,215814_127195,1
842,223668_127195,1
843,210803_127195,1
844,229648_127195,1
845,214688_127195,0
846,239575_127195,1
847,244323_127195,0
848,223634_127195,1
849,222205_127195,1
850,230015_132035,0
851,232993_135320,1
852,240859_135320,1
853,214231_138985,0
854,238018_138985,1
855,238852_138985,0
856,213876_138985,1
857,220399_140148,0
858,213467_144469,0
859,211731_145200,1
860,236677_145889,1
861,205446_149317,1
862,200784_149317,1
863,213122_149317,0
864,234578_150414,1
865,222457_150977,1
866,236359_151324,0
867,240175_153377,1
868,234038_153484,1
869,233773_154968,0
870,216116_156192,1
871,232296_156192,1
872,230780_156192,1
873,212775_156534,1
874,205875_156534,1
875,217371_156534,1
876,213571_156711,1
877,240896_156711,1
878,215668_156711,0
879,246202_156711,1
880,209805_158648,1
881,222509_158648,0
882,234803_158673,1
883,216540_158845,0
884,205890_159255,1
885,227484_159255,1
886,225291_159670,1
887,213274_160465,0
888,234081_162241,1
889,220622_162241,1
890,216179_162241,1
891,235392_162352,1
892,212836_162352,1
893,242538_162466,1
894,205087_165838,1
895,201894_166445,0
896,235410_166445,1
897,216462_166445,1
898,200851_167750,1
899,209618_167750,1
900,218001_167750,1
901,248094_167750,0
902,225556_167750,1
903,206335_167750,1
904,210647_167750,1
905,206805_167750,1
906,220447_167750,1
907,218907_167750,1
908,233085_167750,1
909,248306_167750,1
910,201839_167750,0
911,234849_167750,1
912,246602_167750,0
913,231212_167750,1
914,213821_169884,0
915,228527_173538,0
916,234581_173538,1
917,218054_173538,1
918,202079_173538,1
919,233049_173538,1
920,201746_173538,1
921,226833_173538,1
922,234574_173538,1
923,243545_173538,1
924,223481_173538,1
925,226803_173538,1
926,220192_173538,0
927,205931_173538,0
928,239562_173538,1
929,202598_173538,1
930,207725_173538,1
931,221302_173538,0
932,218642_173538,1
933,236216_173538,1
934,205524_173538,1
935,224353_173538,1
936,225915_173538,0
937,246354_173538,1
938,204269_173538,1
939,241715_173538,1
940,216899_173538,0
941,200367_173538,1
942,220180_173538,1
943,215392_173538,1
944,241417_173538,0
945,248131_173538,1
946,224116_173538,1
947,223419_173538,0
948,231169_173538,1
949,248902_173538,1
950,206691_173538,1
951,230872_173538,1
952,247589_173786,0
953,216855_173786,0
954,236512_175408,1
955,244543_176461,1
956,209171_177576,0
957,215979_178475,1
958,227677_178895,1
959,224280_181293,1
960,228116_182284,1
961,236478_182890,1
962,232944_182890,1
963,241459_182890,1
964,215127_182890,1
965,222647_182890,1
966,238601_183122,1
967,246497_183334,1
968,227703_186315,1
969,217103_187687,0
970,210891_201100,0
971,229355_201748,0
972,204753_201981,1
973,201581_201981,1
974,226190_201981,1
975,224048_201981,1
976,248971_201988,1
977,232862_201988,1
978,218609_201988,0
979,204411_204218,1
980,231362_204247,1
981,232012_205926,1
982,247338_205926,1
983,247832_205926,1
984,247043_205926,1
985,210877_205926,0
986,238767_205926,1
987,236786_205926,1
988,212987_205926,1
989,238631_205926,0
990,231825_206442,1
991,218422_208634,0
992,206953_209992,0
993,214455_209992,1
994,217499_209992,1
995,215818_210305,0
996,200217_210305,1
997,215258_211207,0
998,244463_211207,1
999,203183_211207,0
1000,221001_211207,1
1001,246298_211207,1
1002,241216_211207,1
1003,211139_211207,1
1004,227075_211856,1
1005,220835_213468,1
1006,238670_213468,1
1007,214957_213468,1
1008,242940_213468,1
1009,236087_215486,1
1010,237424_215486,1
1011,247466_216185,0
1012,231622_216185,0
1013,212579_216185,0
1014,213807_216226,1
1015,201813_216226,0
1016,204979_216226,0
1017,214823_216226,1
1018,216121_216226,0
1019,230287_216226,1
1020,200728_216226,1
1021,223997_217059,1
1022,225877_217785,1
1023,210004_217785,0
1024,237151_217785,0
1025,213201_217785,1
1026,234900_219449,1
1027,244648_220165,1
1028,202641_220747,0
1029,231090_221745,1
1030,235657_221745,1
1031,236359_221745,0
1032,213293_221745,0
1033,208960_221801,0
1034,237379_221801,0
1035,202606_221801,1
1036,224220_221801,1
1037,217567_221801,1
1038,242333_222812,0
1039,202273_223459,0
1040,231694_224840,1
1041,211908_224840,1
1042,238422_225073,1
1043,214819_231790,1
1044,235639_231790,0
1045,232675_231790,1
1046,219324_231790,1
1047,213548_232209,1
1048,229302_233918,0
1049,235462_234755,0
1050,226016_234755,1
1051,239877_235737,1
1052,217967_236027,1
1053,230888_236027,0
1054,248442_236027,0
1055,231678_236027,0
1056,243231_236044,1
1057,215878_236044,1
1058,215291_236044,1
1059,220700_236044,0
1060,216257_236044,0
1061,221133_236044,1
1062,216046_236044,1
1063,200594_236044,1
1064,240180_236044,1
1065,214674_236044,1
1066,217083_236044,1
1067,208248_236044,1
1068,210825_236044,1
1069,213530_236044,0
1070,224867_236044,1
1071,212425_236044,1
1072,211430_236044,1
1073,202075_236044,1
1074,212347_236044,0
1075,211511_236044,0
1076,235567_238460,0
1077,230217_238706,1
1078,242959_238706,1
1079,218062_239940,0
1080,218839_243249,1
1081,229764_243604,1
1082,206196_243667,1
1083,213393_246962,1
1084,206182_247797,1
1085,244607_247797,1
1086,217368_247797,1
1087,216189_248111,1
1088,208821_248280,1
1089,225913_249352,0
1090,205249_249915,1
1091,236716_249915,1
1092,201892_251753,1
1093,239077_251774,1
1094,230411_254756,1
1095,245867_255803,1
1096,205897_255803,1
1097,231858_256091,1
1098,227709_256091,1
1099,232740_256932,1
1100,202282_257663,1
1101,232149_257663,1
1102,245804_257663,1
1103,213605_257663,1
1104,245386_260074,0
1105,244052_260211,1
1106,242502_260211,1
1107,212330_260433,0
1108,230673_264167,0
1109,229535_265819,0
1110,242415_265994,1
1111,231930_266107,0
1112,239720_270377,1
1113,236731_270598,1
1114,215442_270760,1
1115,219874_270760,0
1116,248450_271041,1
1117,233427_271041,1
1118,216746_272311,1
1119,203304_272311,1
1120,216268_273483,1
1121,209611_273747,1
1122,216881_273747,1
1123,220006_273747,1
1124,225712_273747,1
1125,209233_273747,1
1126,201608_273747,0
1127,211018_274716,0
1128,206862_274716,1
1129,226243_276147,0
1130,233074_276147,1
1131,206463_276147,1
1132,237214_277600,1
1133,224253_277600,1
1134,226998_277600,1
1135,213328_277600,1
1136,203098_282097,0
1137,213142_282097,1
1138,243722_282203,1
1139,207469_282203,1
1140,235443_282203,1
1141,209440_285413,1
1142,244433_285413,1
1143,222764_286525,0
1144,247959_288503,1
1145,222984_289946,1
1146,241451_289946,1
1147,201194_289946,1
1148,227305_289946,0
1149,217726_289946,1
1150,202118_289946,1
1151,239159_289946,1
1152,246884_289946,1
1153,230915_289946,1
1154,224443_289946,1
1155,212143_290809,1
1156,247513_291328,0
1157,215525_292344,0
1158,204285_293376,0
1159,212297_1139,1
1160,215820_1139,1
1161,207549_1139,1
1162,208705_1139,1
1163,240768_1139,1
1164,203527_1139,1
1165,216672_1139,1
1166,212190_1139,1
1167,220096_1139,1
1168,200008_1139,0
1169,204967_1139,1
1170,245578_1139,1
1171,205026_1139,1
1172,235068_1139,1
1173,201521_1139,1
1174,241239_1139,1
1175,221143_1618,0
1176,247266_1618,1
1177,228607_1618,1
1178,229785_1618,0
1179,215882_1618,1
1180,200203_1618,1
1181,235697_1618,1
1182,212663_1618,1
1183,208523_1618,1
1184,205185_1618,0
1185,240902_1618,1
1186,227635_1618,1
1187,204629_1618,0
1188,248574_1618,1
1189,205378_1618,1
1190,227718_1618,1
1191,238618_1618,1
1192,232121_1618,1
1193,202579_1618,1
1194,213496_1618,0
1195,230866_1618,0
1196,237588_1618,1
1197,238316_1618,1
1198,242287_1618,1
1199,237873_1650,1
1200,222545_1650,1
1201,224210_2776,1
1202,221032_2776,1
1203,209053_2996,0
1204,226894_2996,0
1205,230731_3352,1
1206,209314_5345,1
1207,221488_9517,1
1208,238695_9517,0
1209,231867_10798,0
1210,242807_13483,1
1211,212713_13875,1
1212,225383_13875,1
1213,216747_13875,1
1214,200989_13910,1
1215,206290_13910,1
1216,201190_13910,1
1217,202901_13910,1
1218,247622_13910,1
1219,210313_13910,1
1220,246249_13910,1
1221,221123_13910,1
1222,219142_13910,1
1223,201751_13910,1
1224,207124_13910,1
1225,222492_13910,1
1226,220396_13910,1
1227,244505_13910,1
1228,244021_14714,1
1229,230195_17008,1
1230,244089_17008,0
1231,222262_17077,0
1232,217373_17783,0
1233,221389_17837,1
1234,236402_20052,0
1235,239359_20052,1
1236,230480_20398,1
1237,208891_21121,1
1238,212024_21633,1
1239,204984_21633,1
1240,245940_24078,1
1241,228724_24078,1
1242,247840_24078,1
1243,215534_24078,1
1244,240878_24719,1
1245,243373_25106,1
1246,243653_25106,1
1247,218906_26128,1
1248,202139_28581,1
1249,203638_30525,0
1250,238637_30547,1
1251,224851_30547,0
1252,217131_30547,1
1253,239573_30547,0
1254,245602_30547,1
1255,208514_30547,1
1256,202212_30547,1
1257,236183_30547,0
1258,232733_30547,1
1259,235018_30617,0
1260,210065_32988,0
1261,205549_32988,1
1262,247756_34697,1
1263,231164_34697,1
1264,239214_35399,1
1265,233028_35632,1
1266,200234_35632,0
1267,219686_35632,0
1268,226132_36192,1
1269,202246_36192,1
1270,207544_36347,0
1271,222760_36591,1
1272,217699_36591,0
1273,218443_37006,0
1274,219400_37657,1
1275,229418_38607,1
1276,202009_39788,1
1277,237189_39788,1
1278,243797_39788,1
1279,216378_39788,1
1280,213215_39788,0
1281,234058_39788,1
1282,242455_39788,1
1283,215626_39788,0
1284,234692_39788,1
1285,224267_39788,1
1286,239810_39788,1
1287,231912_39788,1
1288,243421_39788,1
1289,222123_39788,1
1290,218922_40631,0
1291,215979_43010,1
1292,246208_43370,0
1293,228239_43370,1
1294,203060_43938,0
1295,204038_46362,1
1296,216972_46555,0
1297,228436_46818,1
1298,238031_48244,0
1299,199989_48244,0
1300,241010_48244,1
1301,211455_48244,1
1302,247475_49748,0
1303,207855_49748,0
1304,228554_51914,1
1305,221803_51914,0
1306,225729_54551,1
1307,204550_55013,1
1308,217592_55539,1
1309,236846_56168,1
1310,231473_57412,1
1311,217621_57412,0
1312,215980_61250,1
1313,233890_61344,1
1314,202341_61344,1
1315,205450_62372,1
1316,215108_62372,1
1317,200128_62961,1
1318,214826_64648,1
1319,238434_67231,1
1320,230127_68879,1
1321,206502_72266,0
1322,236939_72266,1
1323,222996_72266,1
1324,237427_72288,0
1325,241665_72785,1
1326,225999_72785,1
1327,244982_75305,1
1328,244695_76366,0
1329,215740_77352,1
1330,209970_77352,0
1331,242605_77352,1
1332,234806_77488,1
1333,209828_82459,1
1334,223559_82963,1
1335,245973_84247,1
1336,247114_84275,0
1337,215856_85268,0
1338,200660_86256,0
1339,231472_88211,1
1340,204813_88999,0
1341,246717_88999,0
1342,210985_88999,1
1343,220766_88999,1
1344,213693_88999,1
1345,203914_88999,1
1346,247759_88999,1
1347,215447_88999,0
1348,242405_90891,0
1349,236588_93806,1
1350,223450_94274,0
1351,237781_94274,0
1352,238039_94274,1
1353,205812_94274,1
1354,221254_94274,1
1355,206589_94274,1
1356,233071_97094,1
1357,238125_97128,0
1358,218386_98184,0
1359,210922_98766,1
1360,228750_101872,1
